season,week,celebrity_name,nonbayes_vote_share
1,1,Evander Holyfield,0.20774438977241516
1,2,Evander Holyfield,0.20774516463279724
1,3,Evander Holyfield,0.2165331095457077
1,1,Joey McIntyre,0.26009106636047363
1,2,Joey McIntyre,0.2600906789302826
1,3,Joey McIntyre,0.271319180727005
1,4,Joey McIntyre,0.3463245928287506
1,5,Joey McIntyre,0.3707829415798187
1,1,John O'Hurley,0.20632079243659973
1,2,John O'Hurley,0.20632070302963257
1,3,John O'Hurley,0.21523018181324005
1,4,John O'Hurley,0.2747487723827362
1,5,John O'Hurley,0.29536882042884827
1,6,John O'Hurley,0.4694221615791321
1,1,Kelly Monaco,0.2320321947336197
1,2,Kelly Monaco,0.23203197121620178
1,3,Kelly Monaco,0.24202467501163483
1,4,Kelly Monaco,0.3088841736316681
1,5,Kelly Monaco,0.333848237991333
1,6,Kelly Monaco,0.5305778384208679
1,1,Rachel Hunter,0.05264294147491455
1,2,Rachel Hunter,0.05264289304614067
1,3,Rachel Hunter,0.05489294230937958
1,4,Rachel Hunter,0.07004242390394211
1,1,Trista Sutter,0.04116867482662201
1,2,Trista Sutter,0.04116863012313843
2,1,Drew Lachey,0.06391042470932007
2,2,Drew Lachey,0.06934046000242233
2,3,Drew Lachey,0.07588321715593338
2,4,Drew Lachey,0.08077243715524673
2,5,Drew Lachey,0.10174301266670227
2,6,Drew Lachey,0.11710599809885025
2,7,Drew Lachey,0.15544000267982483
2,8,Drew Lachey,0.19800665974617004
2,1,George Hamilton,0.13696381449699402
2,2,George Hamilton,0.1485806256532669
2,3,George Hamilton,0.1625378429889679
2,4,George Hamilton,0.17323057353496552
2,5,George Hamilton,0.21227511763572693
2,6,George Hamilton,0.2400587499141693
2,1,Giselle Fernandez,0.050265613943338394
2,2,Giselle Fernandez,0.05453105270862579
2,3,Giselle Fernandez,0.05965840816497803
2,1,Jerry Rice,0.1955239474773407
2,2,Jerry Rice,0.21212099492549896
2,3,Jerry Rice,0.23207838833332062
2,4,Jerry Rice,0.24832390248775482
2,5,Jerry Rice,0.3110050857067108
2,6,Jerry Rice,0.3594708740711212
2,7,Jerry Rice,0.4741297662258148
2,8,Jerry Rice,0.6039867997169495
2,1,Kenny Mayne,0.0772743672132492
2,1,Lisa Rinna,0.09053002297878265
2,2,Lisa Rinna,0.09821616858243942
2,3,Lisa Rinna,0.10745415091514587
2,4,Lisa Rinna,0.11499778181314468
2,5,Lisa Rinna,0.14337213337421417
2,6,Lisa Rinna,0.16625840961933136
2,7,Lisa Rinna,0.2149902880191803
2,1,Master P,0.16236551105976105
2,2,Master P,0.17510229349136353
2,3,Master P,0.18925486505031586
2,4,Master P,0.19810551404953003
2,1,Stacy Keibler,0.06391042470932007
2,2,Stacy Keibler,0.06934046000242233
2,3,Stacy Keibler,0.07588321715593338
2,4,Stacy Keibler,0.08077243715524673
2,5,Stacy Keibler,0.10174301266670227
2,6,Stacy Keibler,0.11710599809885025
2,7,Stacy Keibler,0.15544000267982483
2,8,Stacy Keibler,0.19800665974617004
2,1,Tatum O'Neal,0.07731089740991592
2,2,Tatum O'Neal,0.08387136459350586
2,1,Tia Carrere,0.08194487541913986
2,2,Tia Carrere,0.08889655768871307
2,3,Tia Carrere,0.09724991023540497
2,4,Tia Carrere,0.10379736125469208
2,5,Tia Carrere,0.12986162304878235
3,1,Emmitt Smith,0.15603262186050415
3,2,Emmitt Smith,0.16283050179481506
3,3,Emmitt Smith,0.17617565393447876
3,4,Emmitt Smith,0.19086068868637085
3,5,Emmitt Smith,0.21332767605781555
3,6,Emmitt Smith,0.26326125860214233
3,7,Emmitt Smith,0.28951627016067505
3,8,Emmitt Smith,0.35067805647850037
3,9,Emmitt Smith,0.44086018204689026
3,10,Emmitt Smith,0.501292884349823
3,1,Harry Hamlin,0.00039449671749025583
3,2,Harry Hamlin,0.0003914145927410573
3,3,Harry Hamlin,0.00038186830352060497
3,1,Jerry Springer,0.1639956682920456
3,2,Jerry Springer,0.16291408240795135
3,3,Jerry Springer,0.15896643698215485
3,4,Jerry Springer,0.15160906314849854
3,5,Jerry Springer,0.1266528069972992
3,6,Jerry Springer,0.07710722833871841
3,7,Jerry Springer,0.041858792304992676
3,1,Joey Lawrence,0.15231071412563324
3,2,Joey Lawrence,0.15444844961166382
3,3,Joey Lawrence,0.1665540486574173
3,4,Joey Lawrence,0.1820043921470642
3,5,Joey Lawrence,0.20790494978427887
3,6,Joey Lawrence,0.24119000136852264
3,7,Joey Lawrence,0.2493446171283722
3,8,Joey Lawrence,0.24197837710380554
3,9,Joey Lawrence,0.12055343389511108
3,1,Mario Lopez,0.1529158502817154
3,2,Mario Lopez,0.16084688901901245
3,3,Mario Lopez,0.16906721889972687
3,4,Mario Lopez,0.18145962059497833
3,5,Mario Lopez,0.20877067744731903
3,6,Mario Lopez,0.25946757197380066
3,7,Mario Lopez,0.2873711884021759
3,8,Mario Lopez,0.3429332971572876
3,9,Mario Lopez,0.4385864734649658
3,10,Mario Lopez,0.498707115650177
3,1,Monique Coleman,0.15233264863491058
3,2,Monique Coleman,0.15200787782669067
3,3,Monique Coleman,0.1560065597295761
3,4,Monique Coleman,0.167329803109169
3,5,Monique Coleman,0.17073537409305573
3,6,Monique Coleman,0.1589740514755249
3,7,Monique Coleman,0.1319090873003006
3,8,Monique Coleman,0.06441023200750351
3,1,Sara Evans,0.12442666292190552
3,2,Sara Evans,0.11457552015781403
3,3,Sara Evans,0.09535550326108932
3,4,Sara Evans,0.07089244574308395
3,5,Sara Evans,0.03978946805000305
3,1,Shanna Moakler,0.0002507701574359089
3,2,Shanna Moakler,0.0002489049220457673
3,1,Tucker Carlson,0.00019633887859527022
3,1,Vivica A. Fox,0.00064303376711905
3,2,Vivica A. Fox,0.0006379378028213978
3,3,Vivica A. Fox,0.0006218563066795468
3,4,Vivica A. Fox,0.0005867303116247058
3,1,Willa Ford,0.0965011939406395
3,2,Willa Ford,0.09109840542078018
3,3,Willa Ford,0.07687081396579742
3,4,Willa Ford,0.05525725334882736
3,5,Willa Ford,0.03281910717487335
4,1,Apolo Anton Ohno,0.15876440703868866
4,2,Apolo Anton Ohno,0.15876471996307373
4,3,Apolo Anton Ohno,0.1605844646692276
4,4,Apolo Anton Ohno,0.16259662806987762
