season,week,celebrity_name,bayes_vote_share,bayes_vote_share_sd
1,1,Evander Holyfield,0.19895602762699127,0.050133462995290756
1,2,Evander Holyfield,0.2519560158252716,0.03433070331811905
1,3,Evander Holyfield,0.16454333066940308,0.028416194021701813
1,1,Joey McIntyre,0.17578370869159698,0.0490095280110836
1,2,Joey McIntyre,0.20498746633529663,0.04003144055604935
1,3,Joey McIntyre,0.3048690855503082,0.06733591109514236
1,4,Joey McIntyre,0.4446523189544678,0.05007736384868622
1,5,Joey McIntyre,0.49085795879364014,0.09511373192071915
1,1,John O'Hurley,0.17774908244609833,0.04529198631644249
1,2,John O'Hurley,0.17565183341503143,0.048337604850530624
1,3,John O'Hurley,0.22508473694324493,0.056088607758283615
1,4,John O'Hurley,0.29131191968917847,0.03952067717909813
1,5,John O'Hurley,0.30509936809539795,0.08322922885417938
1,6,John O'Hurley,0.6304141283035278,0.14123420417308807
1,1,Kelly Monaco,0.19328422844409943,0.050698067992925644
1,2,Kelly Monaco,0.20052337646484375,0.035728003829717636
1,3,Kelly Monaco,0.2197522521018982,0.04621179401874542
1,4,Kelly Monaco,0.19245024025440216,0.03975602611899376
1,5,Kelly Monaco,0.20404262840747833,0.06238042563199997
1,6,Kelly Monaco,0.36958569288253784,0.14123420417308807
1,1,Rachel Hunter,0.14483436942100525,0.03551765903830528
1,2,Rachel Hunter,0.10144087672233582,0.028795151039958
1,3,Rachel Hunter,0.08575072139501572,0.027885129675269127
1,4,Rachel Hunter,0.07158546149730682,0.016020607203245163
1,1,Trista Sutter,0.1093926802277565,0.03620930016040802
1,2,Trista Sutter,0.06544024497270584,0.012200324796140194
2,1,Drew Lachey,0.10419951379299164,0.031064800918102264
2,2,Drew Lachey,0.10779287666082382,0.03463241085410118
2,3,Drew Lachey,0.13046406209468842,0.03504262864589691
2,4,Drew Lachey,0.15004438161849976,0.03922922909259796
2,5,Drew Lachey,0.19887618720531464,0.060530275106430054
2,6,Drew Lachey,0.2230425328016281,0.052356015890836716
2,7,Drew Lachey,0.2680775821208954,0.07118573039770126
2,8,Drew Lachey,0.2791837155818939,0.12536393105983734
2,1,George Hamilton,0.10861767083406448,0.023967036977410316
2,2,George Hamilton,0.13220244646072388,0.03957291319966316
2,3,George Hamilton,0.1371304988861084,0.03450996056199074
2,4,George Hamilton,0.17756624519824982,0.036465682089328766
2,5,George Hamilton,0.14010748267173767,0.042549971491098404
2,6,George Hamilton,0.10621664673089981,0.02634153701364994
2,1,Giselle Fernandez,0.08242885768413544,0.02282114326953888
2,2,Giselle Fernandez,0.06181875243782997,0.020533913746476173
2,3,Giselle Fernandez,0.04332612454891205,0.010973677970468998
2,1,Jerry Rice,0.1196872815489769,0.0351942740380764
2,2,Jerry Rice,0.16222558915615082,0.05292097479104996
2,3,Jerry Rice,0.19608795642852783,0.03480955958366394
2,4,Jerry Rice,0.2504030168056488,0.05899331718683243
2,5,Jerry Rice,0.3459510803222656,0.08098186552524567
2,6,Jerry Rice,0.40949204564094543,0.07464390993118286
2,7,Jerry Rice,0.4696349799633026,0.0683312937617302
2,8,Jerry Rice,0.537414014339447,0.14461751282215118
2,1,Kenny Mayne,0.06898514926433563,0.010554792359471321
2,1,Lisa Rinna,0.11123041063547134,0.03189454600214958
