group_id,season,week,n_active,p_max_hat,gap_top1_top2_hat,entropy_hat,H_norm_hat,D_entropy_hat,kl_y_yhat,top1_hat,alpha
0,1,-1.28945665124277,6,0.2572043327728191,0.047836665089333985,1.7139394006221988,0.9565677927521246,0.04343220724787544,0.08730066497621503,Rachel Hunter,0.7
1,1,-0.9252189215610312,6,0.2067536572510327,0.009971807718425457,1.768558632870538,0.9870513666839933,0.012948633316006708,0.02594698532147694,John O'Hurley,0.7
2,1,-0.5609811918792926,5,0.228712218621862,0.006778616373299989,1.5958690286032944,0.9915691784529392,0.008430821547060763,0.03825152260152438,Evander Holyfield,0.7
3,1,-0.196743462197554,4,0.3073571514259421,0.006691223303152083,1.348631819074143,0.972832218681664,0.02716778131833597,0.05228413696083372,Kelly Monaco,0.7
4,1,0.1674942674841845,3,0.42515517146227716,0.12332089836932936,1.0796305982592596,0.9827221208021781,0.017277879197821866,0.04514064685353174,Joey McIntyre,0.7
5,1,0.5317319971659231,2,0.5412549903268947,0.0825099806543308,0.6897393592619578,0.9950835531131578,0.0049164468868422295,2.8279986087316814e-06,Kelly Monaco,0.7
6,2,-1.28945665124277,10,0.208130994435304,0.0662751050236651,2.1893757889021965,0.9508338239328026,0.04916617606719742,0.20765067345409932,Kenny Mayne,0.7
7,2,-0.9252189215610312,9,0.1286917440880983,0.0019451414063620942,2.189999425384972,0.9967116916378175,0.0032883083621825238,0.041372795460876015,Jerry Rice,0.7
8,2,-0.5609811918792926,8,0.14772622813969624,0.0010777048968706737,2.0672701918422147,0.9941468179827798,0.005853182017220182,0.033644294010151794,Jerry Rice,0.7
9,2,-0.196743462197554,7,0.18206417796102353,0.030563342837588436,1.936446697204044,0.9951367477805367,0.0048632522194632655,0.02997286694208047,Jerry Rice,0.7
10,2,0.1674942674841845,6,0.25007370454913386,0.07730010175337321,1.7616785524228435,0.9832115206746075,0.016788479325392514,0.034145101035706824,Jerry Rice,0.7
11,2,0.5317319971659231,5,0.32048324865123534,0.12011639958486658,1.5650419504508466,0.972415237866424,0.02758476213357597,0.032188930269324706,Jerry Rice,0.7
12,2,0.8959697268476617,4,0.4269330229047588,0.18618122467024728,1.3025583685282085,0.9395972493720326,0.060402750627967405,0.01578559794919132,Jerry Rice,0.7
13,2,1.2602074565294004,3,0.5700258662173615,0.30881075750173087,0.971324645638932,0.8841377942499682,0.11586220575003181,0.0021731895987666568,Jerry Rice,0.7
14,3,-1.28945665124277,11,0.18386336266857564,0.026911169380318428,2.292388366998434,0.9560002027624798,0.04399979723752023,0.13418346721869004,Harry Hamlin,0.7
15,3,-0.9252189215610312,10,0.14391462501802485,0.03159667434568274,2.280096216175883,0.9902332048936698,0.009766795106330162,0.06726742367580164,Willa Ford,0.7
16,3,-0.5609811918792926,9,0.1406776392797214,0.013537913506824317,2.1768704717370926,0.9907364473303848,0.009263552669615205,0.08955887623517446,Willa Ford,0.7
17,3,-0.196743462197554,8,0.14651474463877695,0.00975536681585526,2.06420904219833,0.9926747161792294,0.007325283820770578,0.1124183736669521,Willa Ford,0.7
18,3,0.1674942674841845,7,0.16062811567609872,0.005761697580199426,1.9363928701128896,0.995109086127618,0.004890913872382052,0.1369710322132364,Emmitt Smith,0.7
19,3,0.5317319971659231,5,0.22724702743546812,0.020661052540317276,1.6051291843019229,0.9973228366879584,0.002677163312041597,0.052279381530407454,Emmitt Smith,0.7
20,3,0.8959697268476617,5,0.24676340727549445,0.02499904643387385,1.5898929827774433,0.9878560524108088,0.01214394758919124,0.0822995590543,Emmitt Smith,0.7
21,3,1.2602074565294004,4,0.2843286719837385,0.01824073931626774,1.3767853421219785,0.9931406927239966,0.006859307276003368,0.10026372704662946,Emmitt Smith,0.7
22,3,1.6244451862111389,3,0.3656872466061683,0.04371850282986772,1.0962194728838592,0.9978219652110832,0.0021780347889167606,0.15460888975308168,Emmitt Smith,0.7
23,3,1.9886829158928772,2,0.5395628126448521,0.0791256252902437,0.6900134735279482,0.9954790164053389,0.004520983594661132,0.0024421121804326026,Emmitt Smith,0.7
24,4,-1.28945665124277,11,0.14758982652881805,0.010185898103875407,2.3226576146541653,0.9686234594989621,0.031376540501037886,0.05706909415066207,Leeza Gibbons,0.7
25,4,-0.9252189215610312,11,0.11123548147066466,0.0017566321271215851,2.3844174103849674,0.9943792948064515,0.005620705193548514,0.06474795986079142,Laila Ali,0.7
26,4,-0.5609811918792926,10,0.11626123469968179,0.0012574096637328058,2.285763391245676,0.9926944277544607,0.0073055722455392935,0.07041909927304629,Laila Ali,0.7
27,4,-0.196743462197554,9,0.13312940612463806,0.0021665354342380316,2.1757400310605757,0.9902219616068147,0.009778038393185251,0.064388776473593,Joey Fatone,0.7
28,4,0.1674942674841845,8,0.1546685047043497,0.01004442819621873,2.05355717653544,0.9875522515898738,0.012447748410126191,0.06914795352640637,Apolo Anton Ohno,0.7
29,4,0.5317319971659231,7,0.17136236705281152,0.002256065876196589,1.9263960731557705,0.9899717487423475,0.010028251257652498,0.07011755279176739,Laila Ali,0.7
30,4,0.8959697268476617,6,0.18706950310706366,0.012317186897581905,1.7859034123665225,0.9967316724358903,0.003268327564109663,0.07274040530531733,Laila Ali,0.7
31,4,1.2602074565294004,5,0.21410655989940186,0.0027962723455413896,1.6059423421312635,0.9978280800546384,0.002171919945361589,0.09117088135605067,Laila Ali,0.7
32,4,1.6244451862111389,4,0.26265367087504565,0.001053341128986085,1.384007668037871,0.9983504996152677,0.0016495003847323275,0.11841946837199353,Laila Ali,0.7
33,4,1.9886829158928772,3,0.33770939602671585,0.00633220868386436,1.0985691323133127,0.9999607173929854,3.9282607014579085e-05,0.0005762884652548376,Laila Ali,0.7
34,5,-1.28945665124277,12,0.17023111397169438,0.040476626158829576,2.393253716240767,0.9631161462121515,0.03688385378784853,0.12229192159358378,Jane Seymour,0.7
35,5,-0.9252189215610312,11,0.1185747189687914,0.004989135339344447,2.3791207889145385,0.9921704320881695,0.007829567911830537,0.05489838074726411,Jane Seymour,0.7
36,5,-0.5609811918792926,10,0.12390390443878675,0.0019413553408265671,2.2744148290990607,0.9877658098366495,0.012234190163350478,0.054929152040929796,Jane Seymour,0.7
37,5,-0.196743462197554,9,0.13674830994344517,0.005166610664348592,2.17107964469852,0.9881009283678248,0.011899071632175184,0.07459170306612498,Jane Seymour,0.7
38,5,0.1674942674841845,8,0.14669394411965359,0.001403214072163178,2.0590157668295324,0.9901772786390509,0.009822721360949083,0.09378782820269116,Mel B,0.7
39,5,0.5317319971659231,7,0.17383233506782295,0.0171252155361179,1.9288266310669078,0.9912208084239146,0.008779191576085421,0.09735599490485403,Mel B,0.7
40,5,0.8959697268476617,6,0.1803343620750656,0.0019976316317841525,1.7866128952949758,0.9971276423976169,0.0028723576023831354,0.09843914672839094,Mel B,0.7
41,5,1.2602074565294004,5,0.20932604785833483,0.002366582708269671,1.6071302012261501,0.9985661384076258,0.0014338615923742415,0.11443583598106159,Marie Osmond,0.7
42,5,1.6244451862111389,4,0.262070306670194,0.004249055041610605,1.3850024298773789,0.9990680686016294,0.0009319313983705557,0.12705981498869895,Helio Castroneves,0.7
43,5,1.9886829158928772,3,0.33622741090856445,0.0001530878845449335,1.0985406208994977,0.9999347651857244,6.523481427556099e-05,0.0003306745982675904,Helio Castroneves,0.7
44,6,-1.28945665124277,12,0.14611195722652928,0.002230537256470405,2.386658357228627,0.9604619784941396,0.03953802150586039,0.07007645259211301,Kristi Yamaguchi,0.7
45,6,-0.9252189215610312,12,0.10789595095631317,0.0093859610850055,2.466579316870853,0.9926245386647781,0.007375461335221933,0.07982917783157516,Mario,0.7
46,6,-0.5609811918792926,10,0.11687527136497848,0.00376075875812662,2.285985748582783,0.9927909963189769,0.007209003681023063,0.08520167432699502,Jason Taylor,0.7
47,6,-0.196743462197554,9,0.13348199515267312,0.004929311496600003,2.1769003723773777,0.9907500556982292,0.00924994430177084,0.07798762466572216,Cristian de la Fuente,0.7
48,6,0.1674942674841845,8,0.14609796941341277,0.005342979610033827,2.0620610486398965,0.9916417496276915,0.008358250372308529,0.07164778691041832,Jason Taylor,0.7
49,6,0.5317319971659231,7,0.16382369064570598,0.0006023348408628337,1.9285528196669888,0.9910800971993743,0.008919902800625712,0.07513055929882664,Marissa Jaret Winokur,0.7
50,6,0.8959697268476617,6,0.19055317949949516,0.008257637499457848,1.7824532654845329,0.9948061087978893,0.005193891202110668,0.10014424120722887,Marissa Jaret Winokur,0.7
51,6,1.2602074565294004,5,0.21827954603736813,0.002032227567398126,1.604110847543114,0.9966901084845643,0.0033098915154357034,0.11899159940141495,Cristian de la Fuente,0.7
52,6,1.6244451862111389,4,0.28463792404702126,0.03023853791068848,1.382350862299286,0.9971553669038811,0.0028446330961189314,0.12648634136720976,Cristian de la Fuente,0.7
